Campaign,Download Name,Downloaded (as of),Send Date,Campaign Name,Audience
07.03.2026 - CV - It's Not Too Late To Take Back Your Backyard [NonGmail],07.03.2026 - CV - It's Not Too Late To Take Back Your Backyard [NonGmail],7/17/2026,7/3/2026,It's Not Too Late To Take Back Your Backyard [NonGmail]    ,360-Day Engaged
07.03.2026 - CV - It's Not Too Late To Take Back Your Backyard [Gmail],07.03.2026 - CV - It's Not Too Late To Take Back Your Backyard [Gmail],7/17/2026,7/3/2026,It's Not Too Late To Take Back Your Backyard [Gmail]    ,360-Day Engaged
07.07.2026 - MF - Fox Fact Check: Can Ants Can Carry Up To 50 Times Their Own Bodyweight? [TEST],-,,7/7/2026,Fox Fact Check: Can Ants Can Carry Up To 50 Times Their Own Bodyweight? [TEST],Test
07.02.2026 - MF - It's Not Too Late To Take Back Your Backyard [Gmail],07.02.2026 - MF - It's Not Too Late To Take Back Your Backyard [Gmail],7/17/2026,7/2/2026,It's Not Too Late To Take Back Your Backyard [Gmail]    ,360-Day Engaged
07.02-03.2026 - CV - It's Not Too Late To Take Back Your Backyard [TEST],-,,7/2/2026,It's Not Too Late To Take Back Your Backyard [TEST]    ,Test
07.02-03.2026 - MF - It's Not Too Late To Take Back Your Backyard [TEST],-,,7/2/2026,It's Not Too Late To Take Back Your Backyard [TEST]    ,Test
06.29.2026 - MF - Real Results From Real Homeowners [NonGmail],06.29.2026 - MF - Real Results From Real Homeowners [NonGmail],7/17/2026,6/29/2026,Real Results From Real Homeowners [NonGmail]        ,90-Day Engaged
06.29.2026 - MF - Real Results From Real Homeowners [Gmail],06.29.2026 - MF - Real Results From Real Homeowners [Gmail],7/17/2026,6/29/2026,Real Results From Real Homeowners [Gmail]        ,90-Day Engaged
06.29.2026 - MF - Real Results From Real Homeowners [TEST],-,,6/29/2026,Real Results From Real Homeowners [TEST]        ,Test
06.25.2026 - MF - Recognizing Faces And Holding Grudges - Five Fascinating Wasp Facts [NonGmail],06.25.2026 - MF - Recognizing Faces And Holding Grudges - Five Fascinating Wasp Facts [NonGmail],7/17/2026,6/25/2026,Recognizing Faces And Holding Grudges - Five Fascinating Wasp Facts [NonGmail]   ,90-Day Engaged
06.25.2026 - MF - Recognizing Faces And Holding Grudges - Five Fascinating Wasp Facts [Gmail],06.25.2026 - MF - Recognizing Faces And Holding Grudges - Five Fascinating Wasp Facts [Gmail],7/17/2026,6/25/2026,Recognizing Faces And Holding Grudges - Five Fascinating Wasp Facts [Gmail]   ,90-Day Engaged
