campaign_id,campaign_name,campaign_date
1,01.27.2026 - HO - Cross Sell_ Termites Turning Your Home Into A Snack_ (Campaign 3) Batch #1,2026-01-27
2,01.27.2026 - HO - Cross Sell_ Termites Turning Your Home Into A Snack_ (Campaign 3) Batch #2,2026-01-27
3,01.27.2026 - HO - Cross Sell_ Termites Turning Your Home Into A Snack_ (Campaign 3) Batch #3,2026-01-27
4,01.28.2026 - HO - Cross Sell_ Termites Turning Your Home Into A Snack_ (Campaign 3) Batch #4,2026-01-28
5,01.28.2026 - HO - Cross Sell_ Termites Turning Your Home Into A Snack_ (Campaign 3) Batch #5,2026-01-28
6,01.28.2026 - HO - Cross Sell_ Termites Turning Your Home Into A Snack_ (Campaign 3) Batch #6,2026-01-28
7,01.28.2026 - HO - Cross Sell_ Termites Turning Your Home Into A Snack_ (Campaign 3) Batch #7,2026-01-28
8,02.03.2026 - MF - Winback Campaign (Campaign 4) Batch #1,2026-02-03
9,02.03.2026 - MF - Winback Campaign (Campaign 4) Batch #2,2026-02-03
10,02.03.2026 - MF - Winback Campaign (Campaign 4) Batch #3,2026-02-03
11,02.03.2026 - MF - Winback Campaign (Campaign 4) Batch #4,2026-02-03
12,02.03.2026 - MF - Winback Campaign (Campaign 4) Batch #5,2026-02-03
13,02.03.2026 - MF - Winback Campaign (Campaign 4) Batch #6,2026-02-03
14,02.09.2026 - MF - Winback Campaign (Campaign 4) Batch #10,2026-02-09
15,02.09.2026 - MF - Winback Campaign (Campaign 4) Batch #11,2026-02-09
16,02.09.2026 - MF - Winback Campaign (Campaign 4) Batch #12,2026-02-09
17,02.09.2026 - MF - Winback Campaign (Campaign 4) Batch #7,2026-02-09
18,02.09.2026 - MF - Winback Campaign (Campaign 4) Batch #8,2026-02-09
19,02.09.2026 - MF - Winback Campaign (Campaign 4) Batch #9,2026-02-09
20,02.10.2026 - MF - Winback Campaign (Campaign 4) Batch #13,2026-02-10
21,02.10.2026 - MF - Winback Campaign (Campaign 4) Batch #14,2026-02-10
22,02.10.2026 - MF - Winback Campaign (Campaign 4) Batch #15,2026-02-10
23,02.10.2026 - MF - Winback Campaign (Campaign 4) Batch #16,2026-02-10
24,02.10.2026 - MF - Winback Campaign (Campaign 4) Batch #17,2026-02-10
25,02.10.2026 - MF - Winback Campaign (Campaign 4) Batch #18,2026-02-10
26,02.11.2026 - MF - Winback Campaign (Campaign 4) Batch #19,2026-02-11
27,02.11.2026 - MF - Winback Campaign (Campaign 4) Batch #20,2026-02-11
28,02.11.2026 - MF - Winback Campaign (Campaign 4) Batch #21,2026-02-11
29,02.11.2026 - MF - Winback Campaign (Campaign 4) Batch #22,2026-02-11
30,02.11.2026 - MF - Winback Campaign (Campaign 4) Batch #23,2026-02-11
31,02.11.2026 - MF - Winback Campaign (Campaign 4) Batch #24,2026-02-11
32,02.12.2026 - MF - Winback Campaign (Campaign 4) Batch #25,2026-02-12
33,02.12.2026 - MF - Winback Campaign (Campaign 4) Batch #26,2026-02-12
34,02.12.2026 - MF - Winback Campaign (Campaign 4) Batch #27,2026-02-12
35,02.12.2026 - MF - Winback Campaign (Campaign 4) Batch #28,2026-02-12
