"Google Click ID","Conversion Time","Conversion Name","Conversion Value","Conversion Currency",subscriptionid,campaign,location
CjwKCAiA4smsBhAEEiwAO6DEjSNbs7F_oDLcEYTTrotut7WbWDgr8g5Trw2RvP_17IGNNkOwFxoL9BoCsPMQAvD_BwE,2024-01-01T15:59:00-0500,"Billable Google Ads Call",940.00,USD,1336064,"-All Locations",https://fox-pest.com/local-location/?pest=mice&service=treatment&loc_interest_ms=&loc_physical_ms=9003813&gad_source=1&gclid=CjwKCAiA4smsBhAEEiwAO6DEjSNbs7F_oDLcEYTTrotut7WbWDgr8g5Trw2RvP_17IGNNkOwFxoL9BoCsPMQAvD_BwE
EAIaIQobChMImu21xeO-gwMVDPXICh1v1A3MEAAYBCAAEgL-V_D_BwE,2024-01-02T13:15:00-0500,"Billable Google Ads Call",849.00,USD,1336086,"-All Locations | Phrase Match",https://fox-pest.com/local-location/?pest=mice&service=removal&loc_interest_ms=&loc_physical_ms=9008542&gad_source=1&gbraid=0AAAAACVgtGAqUVxAVDrulz71pHUJkF7Ng&gclid=EAIaIQobChMImu21xeO-gwMVDPXICh1v1A3MEAAYBCAAEgL-V_D_BwE
EAIaIQobChMI4aqNsL68gwMViiitBh3m5QXOEAAYASAAEgLYQPD_BwE,2024-01-01T14:21:00-0500,"Billable Google Ads Call",910.00,USD,1336099,"-All Locations",https://fox-pest.com/local-location/?pest=pest&service=exterminator&loc_interest_ms=&loc_physical_ms=9006312&gad_source=1&gclid=EAIaIQobChMI4aqNsL68gwMViiitBh3m5QXOEAAYASAAEgLYQPD_BwE
EAIaIQobChMI1Kas1Iy_gwMVIEdHAR3AEg4aEAAYAyAAEgKM7fD_BwE,2024-01-02T15:19:00-0500,"Billable Google Ads Call",250.00,USD,1336136,"-All Locations | Phrase Match",https://fox-pest.com/local-location/?pest=mice&service=removal&loc_interest_ms=&loc_physical_ms=9003456&gad_source=1&gclid=EAIaIQobChMI1Kas1Iy_gwMVIEdHAR3AEg4aEAAYAyAAEgKM7fD_BwE
Cj0KCQiAhc-sBhCEARIsAOVwHuRdTJ-L239agYKjK_6qLnwCnQBMJ4_9Eho__8vfXV2lk7I2HL9EuicaAoDTEALw_wcB,2024-01-02T16:32:00-0500,"Billable Google Ads Call",990.00,USD,1336170,"-Demand Gen - All Locations",https://fox-pest.com/local-location/?pest=exterminator&service=&loc_interest_ms=9003512&loc_physical_ms=9003512&gclid=Cj0KCQiAhc-sBhCEARIsAOVwHuRdTJ-L239agYKjK_6qLnwCnQBMJ4_9Eho__8vfXV2lk7I2HL9EuicaAoDTEALw_wcB
Cj0KCQiAhc-sBhCEARIsAOVwHuRqoZRUNJEfbUrsFBJfTvewJ49dPQb2vv2hKQacBWLnn5ds4Ap5FEwaAmOOEALw_wcB,2024-01-02T19:25:00-0500,"Billable Google Ads Call",828.00,USD,1336221,"-All Locations | Phrase Match",https://fox-pest.com/local-location/?pest=local&service=exterminator&loc_interest_ms=&loc_physical_ms=9008533&gad_source=1&gbraid=0AAAAACVgtGAqUVxAVDrulz71pHUJkF7Ng&gclid=Cj0KCQiAhc-sBhCEARIsAOVwHuRqoZRUNJEfbUrsFBJfTvewJ49dPQb2vv2hKQacBWLnn5ds4Ap5FEwaAmOOEALw_wcB
Cj0KCQiAhc-sBhCEARIsAOVwHuTLz_syJ7EfGm8j4Ay4B-sp4TnGk2d2nEFTkGRLpGkJRpFMu8LsKs4aAqEBEALw_wcB,2024-01-02T20:35:00-0500,"Billable Google Ads Call",885.00,USD,1336385,"-All Locations | Phrase Match",https://fox-pest.com/local-location/?pest=pest&service=exterminator&loc_interest_ms=&loc_physical_ms=9008570&gad_source=1&gclid=Cj0KCQiAhc-sBhCEARIsAOVwHuTLz_syJ7EfGm8j4Ay4B-sp4TnGk2d2nEFTkGRLpGkJRpFMu8LsKs4aAqEBEALw_wcB
CjwKCAiAqNSsBhAvEiwAn_tmxWE1pK6QIcZVW8bzID_iJmSDq44V23Tfm_Q41easg-FShTYYbIWudhoCgmsQAvD_BwE,2024-01-03T13:54:00-0500,"Billable Google Ads Call",824.00,USD,1336280,"-All Locations",https://fox-pest.com/local-location/?pest=ants&service=removal&loc_interest_ms=&loc_physical_ms=9005871&gad_source=1&gbraid=0AAAAACVgtGAf4HZhdVj8btrqg8vG9JLuF&gclid=CjwKCAiAqNSsBhAvEiwAn_tmxWE1pK6QIcZVW8bzID_iJmSDq44V23Tfm_Q41easg-FShTYYbIWudhoCgmsQAvD_BwE
CjwKCAiAqNSsBhAvEiwAn_tmxe5KXSIkffzYT3KZPV2WVtW3ujYK2PU2Oayem6X3nNaE7PurFswJDhoCsVkQAvD_BwE,2024-01-03T16:32:00-0500,"Billable Google Ads Call",1000.00,USD,1336331,"-All Locations",https://fox-pest.com/local-location/?pest=rodents&service=removal&loc_interest_ms=&loc_physical_ms=9001637&gad_source=1&gbraid=0AAAAACVgtGA_Lhfbblir8Mf326-IzOm26&gclid=CjwKCAiAqNSsBhAvEiwAn_tmxe5KXSIkffzYT3KZPV2WVtW3ujYK2PU2Oayem6X3nNaE7PurFswJDhoCsVkQAvD_BwE
EAIaIQobChMIhMSU3aHCgwMV70pHAR15lwYFEAAYAyAAEgLwZvD_BwE,2024-01-03T21:27:00-0500,"Billable Google Ads Call",1500.00,USD,1336413,"-All Locations | Phrase Match",https://fox-pest.com/local-location/?pest=bed-bug&service=control&loc_interest_ms=&loc_physical_ms=9005523&gad_source=1&gbraid=0AAAAACVgtGAvVsXfcSSse03OcLMNkib-B&gclid=EAIaIQobChMIhMSU3aHCgwMV70pHAR15lwYFEAAYAyAAEgLwZvD_BwE
