"Microsoft Click ID","Conversion Time","Conversion Name","Conversion Value","Conversion Currency",Campaign,Location,"Subscription ID"
732c85f629311993d9f8e25accfd927e,2025-02-12T17:22:00-0500,"Billable Microsoft Call",1000.00,USD,"-All Locations",https://fox-pest.com/local-location/?pest=bed-bugs&service=treatment&loc_interest_ms=&loc_physical_ms=102484&msclkid=732c85f629311993d9f8e25accfd927e&utm_source=bing&utm_medium=cpc&utm_campaign=-All%20Locations&utm_term=bed%20bug%20companies%20near%20me&utm_content=Bed%20Bug%20Exterminator,1499690
88032dcdb33b114a3e694a62ea6c3996,2025-02-14T14:03:00-0500,"Billable Microsoft Call",684.00,USD,"-All Locations",https://fox-pest.com/local-location/ms/?pest=insect&service=extermination&loc_interest_ms=&loc_physical_ms=72525&msclkid=88032dcdb33b114a3e694a62ea6c3996&utm_source=bing&utm_medium=cpc&utm_campaign=-All%20Locations&utm_term=exterminating%20companies&utm_content=*Insect%20Extermination,1500758
6a27617695b014b9c77c06c511b032ff,2025-02-17T17:49:00-0500,"Billable Microsoft Call",1034.00,USD,"-All Locations",https://fox-pest.com/local-location/ms/?pest=pest&service=control&loc_interest_ms=51673&loc_physical_ms=103720&msclkid=6a27617695b014b9c77c06c511b032ff&utm_source=bing&utm_medium=cpc&utm_campaign=-All%20Locations&utm_term=pest%20control%20services%20near%20me&utm_content=*Pest%20Control,1501529
ff1dda2b81601f6271f9bd981834a0d9,2025-02-17T19:18:00-0500,"Billable Microsoft Call",717.00,USD,"-All Locations",https://fox-pest.com/local-location/ms/?pest=pest&service=control&loc_interest_ms=&loc_physical_ms=74366&msclkid=ff1dda2b81601f6271f9bd981834a0d9&utm_source=bing&utm_medium=cpc&utm_campaign=-All%20Locations&utm_term=bug%20control%20companies&utm_content=*Pest%20Control,1501588
698a096d9a6b1314e2f26ede3334ffb2,2025-02-17T20:26:00-0500,"Billable Microsoft Call",725.00,USD,"-All Locations Brand",https://fox-pest.com/local-location/ms/?pest=exterminator&service=&loc_interest_ms=65339&loc_physical_ms=71724&msclkid=698a096d9a6b1314e2f26ede3334ffb2&utm_source=bing&utm_medium=cpc&utm_campaign=-All%20Locations%20Brand&utm_term=fox%20pest%20control&utm_content=Matched%20Fox%20Pest,1501623
c582777f852012d5753510cb6a9082af,2025-02-18T19:39:00-0500,"Billable Microsoft Call",770.00,USD,"-All Locations Brand",https://fox-pest.com/local-location/ms/?pest=exterminator&service=&loc_interest_ms=&loc_physical_ms=103138&msclkid=c582777f852012d5753510cb6a9082af&utm_source=bing&utm_medium=cpc&utm_campaign=-All%20Locations%20Brand&utm_term=fox%20bug%20control&utm_content=Matched%20Fox%20Pest,1501963
1cef086c164b1e9f880e6fdb7c3fb82b,2025-02-20T16:47:00-0500,"Billable Microsoft Call",840.00,USD,"-All Locations",https://fox-pest.com/local-location/ms/?pest=cockroaches&service=removal&loc_interest_ms=&loc_physical_ms=91361&msclkid=1cef086c164b1e9f880e6fdb7c3fb82b&utm_source=bing&utm_medium=cpc&utm_campaign=-All%20Locations&utm_term=get%20rid%20of%20roaches%20permanently&utm_content=Cockroach%20Removal,1502473
b152140643b81bed0ee173bba5b32934,2025-02-25T14:52:00-0500,"Billable Microsoft Call",635.00,USD,"-All Locations",https://fox-pest.com/services/plans/?msclkid=b152140643b81bed0ee173bba5b32934&utm_source=bing&utm_medium=cpc&utm_campaign=-All%20Locations&utm_term=pest%20control&utm_content=*Pest%20Control&pest=pest&service=control&loc_interest_ms=&loc_physical_ms=103133&msclkid=b152140643b81bed0ee173bba5b32934&utm_source=bing&utm_medium=cpc&utm_campaign=-All%20Locations&utm_term=pest%20control&utm_content=*Pest%20Control,1503382
3b24c94dcf4d1bd59462aee3c12c7a8e,2025-02-13T14:33:00-0500,"Billable Microsoft Call",778.00,USD,"-All Locations",https://fox-pest.com/local-location/ms/?pest=pest&service=control&loc_interest_ms=51389&loc_physical_ms=95530&msclkid=3b24c94dcf4d1bd59462aee3c12c7a8e&utm_source=bing&utm_medium=cpc&utm_campaign=-All%20Locations&utm_term=pest%20control%20near%20me&utm_content=*Pest%20Control,1503581
983a36a1acb913961b68511ec2128bf5,2025-02-26T18:59:00-0500,"Billable Microsoft Call",770.00,USD,"-All Locations",https://fox-pest.com/local-location/ms/?pest=carpenter-ant&service=exterminator&loc_interest_ms=&loc_physical_ms=95640&msclkid=983a36a1acb913961b68511ec2128bf5&utm_source=bing&utm_medium=cpc&utm_campaign=-All%20Locations&utm_term=best%20thing%20to%20kill%20carpenter%20ants&utm_content=Carpenter%20Ant%20Exterminator,1503794
