Year,MonthNum,Month,"Branch Name",Sales,"Contract Value"
2022,1,January,"Albany - NY",31,20247.70
2022,1,January,"Baton Rouge - LA",80,52667.99
2022,1,January,"Bloomington - IL",16,10654.86
2022,1,January,"Boston - MA",52,43455.59
2022,1,January,"Buffalo - NY",55,41217.33
2022,1,January,"Chicago North - IL",61,46463.48
2022,1,January,"Chicago South - IL",115,93507.56
2022,1,January,"Corpus Christi - TX",154,97198.18
2022,1,January,"Dallas Fort Worth Northwest - TX",27,15520.07
2022,1,January,"DC West - DC",11,7194.06
2022,1,January,"Harrisburg - PA",36,24997.79
2022,1,January,"Hartford - CT",112,94744.41
2022,1,January,"Lafayette - LA",45,34713.37
2022,1,January,"Lexington - KY",96,81920.23
2022,1,January,"Long Island - NY",104,77247.81
2022,1,January,"Lubbock - TX",32,19069.63
2022,1,January,"Manchester - NH",21,16932.23
2022,1,January,"McAllen - TX",155,111722.79
2022,1,January,"Midland - TX",101,84653.76
2022,1,January,"New Jersey Central - NJ",14,10755.13
2022,1,January,"Newport News - VA",93,68922.23
2022,1,January,"Northshore - LA",27,23836.02
2022,1,January,"Orchard Park - NY",84,66352.46
2022,1,January,"Orlando West - FL",55,40030.75
2022,1,January,"Oxford - CT",128,111574.99
2022,1,January,"Pittsburgh - PA",13,11527.73
2022,1,January,"Providence - RI",159,148787.52
2022,1,January,"Rochester - NY",80,62713.25
2022,1,January,"Syracuse - NY",21,16069.51
2022,1,January,"Virginia Beach - VA",118,86572.96
2022,1,January,"Westchester - NY",62,58051.29
2022,2,February,"Albany - NY",38,29719.03
2022,2,February,"Baton Rouge - LA",113,61758.63
2022,2,February,"Bloomington - IL",10,10701.26
2022,2,February,"Boston - MA",49,44662.96
2022,2,February,"Buffalo - NY",78,53205.52
2022,2,February,"Chicago North - IL",50,39493.48
2022,2,February,"Chicago South - IL",167,111207.68
2022,2,February,"Corpus Christi - TX",132,95192.78
2022,2,February,"Dallas Fort Worth Northwest - TX",16,10917.03
2022,2,February,"DC West - DC",20,14482.88
2022,2,February,"Harrisburg - PA",38,29230.49
2022,2,February,"Hartford - CT",98,98039.77
2022,2,February,"Lafayette - LA",81,52005.80
2022,2,February,"Lexington - KY",124,81055.19
2022,2,February,"Long Island - NY",152,135831.86
2022,2,February,"Lubbock - TX",127,73952.31
2022,2,February,"Manchester - NH",27,25708.97
2022,2,February,"McAllen - TX",432,273191.32
2022,2,February,"Midland - TX",169,124469.75
2022,2,February,"New Jersey Central - NJ",13,10862.28
2022,2,February,"Newport News - VA",121,102262.29
2022,2,February,"Northshore - LA",85,47577.73
2022,2,February,"Orchard Park - NY",83,59449.04
2022,2,February,"Orlando West - FL",34,24554.34
2022,2,February,"Oxford - CT",121,102323.73
2022,2,February,"Pittsburgh - PA",14,12084.04
2022,2,February,"Providence - RI",139,127449.51
2022,2,February,"Rochester - NY",163,118558.41
2022,2,February,"Syracuse - NY",84,56601.44
2022,2,February,"Virginia Beach - VA",175,128255.10
2022,2,February,"Westchester - NY",59,48902.29
2022,3,March,"Albany - NY",53,36927.34
2022,3,March,"Baton Rouge - LA",198,142089.57
2022,3,March,"Bloomington - IL",17,12283.06
2022,3,March,"Boston - MA",73,65716.09
2022,3,March,"Buffalo - NY",114,80678.35
2022,3,March,"Chicago North - IL",56,43087.81
2022,3,March,"Chicago South - IL",124,87579.42
2022,3,March,"Corpus Christi - TX",95,58861.32
2022,3,March,"Dallas Fort Worth Northwest - TX",40,26996.90
2022,3,March,"DC West - DC",41,30478.44
2022,3,March,"Harrisburg - PA",154,139848.98
2022,3,March,"Hartford - CT",140,119244.16
2022,3,March,"Lafayette - LA",174,102965.32
2022,3,March,"Lexington - KY",163,116366.19
2022,3,March,"Long Island - NY",184,137171.14
2022,3,March,"Lubbock - TX",72,42815.87
2022,3,March,"Manchester - NH",41,36572.23
2022,3,March,"McAllen - TX",142,92910.38
2022,3,March,"Midland - TX",184,139441.18
2022,3,March,"New Jersey Central - NJ",39,32871.87
2022,3,March,"Newport News - VA",150,117388.39
