Year,MonthNum,Month,"Branch Name",Cancels,"Contract Value"
2022,1,January,"Albany - NY",100,71458.50
2022,1,January,"Baton Rouge - LA",260,120380.22
2022,1,January,"Bloomington - IL",28,26446.89
2022,1,January,"Boston - MA",154,109044.69
2022,1,January,"Buffalo - NY",117,73658.00
2022,1,January,"Chicago North - IL",78,44613.16
2022,1,January,"Chicago South - IL",138,81073.74
2022,1,January,"Corpus Christi - TX",238,134086.03
2022,1,January,"Dallas Fort Worth Northwest - TX",111,34137.40
2022,1,January,"DC West - DC",41,18886.32
2022,1,January,"Harrisburg - PA",172,112236.82
2022,1,January,"Hartford - CT",430,327990.44
2022,1,January,"Lafayette - LA",71,29890.00
2022,1,January,"Lexington - KY",206,101460.65
2022,1,January,"Long Island - NY",226,158970.78
2022,1,January,"Lubbock - TX",87,42801.36
2022,1,January,"Manchester - NH",104,73377.00
2022,1,January,"McAllen - TX",355,184422.61
2022,1,January,"Midland - TX",333,181947.00
2022,1,January,"New Jersey Central - NJ",76,41131.00
2022,1,January,"Newport News - VA",279,145444.10
2022,1,January,"Northshore - LA",89,36343.75
2022,1,January,"Orchard Park - NY",115,74699.00
2022,1,January,"Orlando West - FL",118,44292.93
2022,1,January,"Oxford - CT",305,243006.16
2022,1,January,"Pittsburgh - PA",21,11808.00
2022,1,January,"Providence - RI",167,118146.37
2022,1,January,"Rochester - NY",155,101912.28
2022,1,January,"Syracuse - NY",83,54857.10
2022,1,January,"Virginia Beach - VA",205,110458.22
2022,1,January,"Westchester - NY",191,141357.09
2022,2,February,"Albany - NY",48,37281.54
2022,2,February,"Baton Rouge - LA",334,155206.68
2022,2,February,"Bloomington - IL",24,14265.00
2022,2,February,"Boston - MA",115,85346.90
2022,2,February,"Buffalo - NY",134,77985.00
2022,2,February,"Chicago North - IL",116,63200.41
2022,2,February,"Chicago South - IL",187,109085.40
2022,2,February,"Corpus Christi - TX",781,409574.05
2022,2,February,"Dallas Fort Worth Northwest - TX",38,17591.84
2022,2,February,"DC West - DC",33,18278.72
