Year,MonthNum,Month,"Branch Name",Cancels,"Contract Value"
2022,1,January,"Albany - NY",17,11972.52
2022,1,January,"Baton Rouge - LA",16,8918.80
2022,1,January,"Bloomington - IL",9,4754.89
2022,1,January,"Boston - MA",44,31434.80
2022,1,January,"Buffalo - NY",40,27217.00
2022,1,January,"Chicago North - IL",24,13895.20
2022,1,January,"Chicago South - IL",62,38022.05
2022,1,January,"Corpus Christi - TX",34,22035.39
2022,1,January,"Dallas Fort Worth Northwest - TX",3,1305.00
2022,1,January,"DC West - DC",5,3138.00
2022,1,January,"Harrisburg - PA",31,22229.00
2022,1,January,"Hartford - CT",155,100124.46
2022,1,January,"Lafayette - LA",4,1447.00
2022,1,January,"Lexington - KY",64,33484.80
2022,1,January,"Long Island - NY",78,54542.58
2022,1,January,"Lubbock - TX",20,11124.12
2022,1,January,"Manchester - NH",9,7888.00
2022,1,January,"McAllen - TX",61,32500.79
2022,1,January,"Midland - TX",84,54846.98
2022,1,January,"New Jersey Central - NJ",3,2029.00
2022,1,January,"Newport News - VA",57,31050.24
2022,1,January,"Northshore - LA",5,2347.75
2022,1,January,"Orchard Park - NY",58,40097.00
2022,1,January,"Orlando West - FL",8,7808.00
2022,1,January,"Oxford - CT",115,87392.11
2022,1,January,"Pittsburgh - PA",5,2371.00
2022,1,January,"Providence - RI",82,64323.65
2022,1,January,"Rochester - NY",43,30145.92
2022,1,January,"Syracuse - NY",35,25542.10
2022,1,January,"Virginia Beach - VA",47,28044.00
2022,1,January,"Westchester - NY",63,50277.37
2022,2,February,"Albany - NY",10,7456.84
2022,2,February,"Baton Rouge - LA",25,13274.29
2022,2,February,"Bloomington - IL",7,4679.00
2022,2,February,"Boston - MA",35,28241.50
2022,2,February,"Buffalo - NY",33,22262.00
2022,2,February,"Chicago North - IL",26,15591.80
2022,2,February,"Chicago South - IL",63,38184.35
2022,2,February,"Corpus Christi - TX",168,92829.48
2022,2,February,"Dallas Fort Worth Northwest - TX",4,2856.84
2022,2,February,"DC West - DC",1,325.00
2022,2,February,"Harrisburg - PA",16,10465.00
2022,2,February,"Hartford - CT",58,38149.06
2022,2,February,"Lafayette - LA",8,3926.96
2022,2,February,"Lexington - KY",59,50933.90
2022,2,February,"Long Island - NY",98,75160.36
2022,2,February,"Lubbock - TX",26,13142.10
2022,2,February,"Manchester - NH",12,10306.00
2022,2,February,"McAllen - TX",82,45768.96
2022,2,February,"Midland - TX",99,68784.40
2022,2,February,"New Jersey Central - NJ",2,855.00
2022,2,February,"Newport News - VA",42,25698.00
2022,2,February,"Northshore - LA",4,2500.00
2022,2,February,"Orchard Park - NY",59,39554.89
2022,2,February,"Orlando West - FL",11,4130.00
2022,2,February,"Oxford - CT",149,112257.26
2022,2,February,"Pittsburgh - PA",3,925.00
2022,2,February,"Providence - RI",70,53230.02
2022,2,February,"Rochester - NY",63,41670.35
2022,2,February,"Syracuse - NY",37,28218.00
2022,2,February,"Virginia Beach - VA",95,60181.50
2022,2,February,"Westchester - NY",31,24002.44
2022,3,March,"Albany - NY",16,10572.52
2022,3,March,"Baton Rouge - LA",27,14526.00
2022,3,March,"Bloomington - IL",6,3834.00
2022,3,March,"Boston - MA",33,24474.00
2022,3,March,"Buffalo - NY",59,38261.00
2022,3,March,"Chicago North - IL",20,11374.08
2022,3,March,"Chicago South - IL",53,35492.20
2022,3,March,"Corpus Christi - TX",63,35584.43
2022,3,March,"Dallas Fort Worth Northwest - TX",1,250.00
2022,3,March,"DC West - DC",4,2042.00
2022,3,March,"Harrisburg - PA",22,16506.00
2022,3,March,"Hartford - CT",46,40586.92
2022,3,March,"Lafayette - LA",6,2851.00
2022,3,March,"Lexington - KY",49,29722.29
2022,3,March,"Long Island - NY",46,34747.20
2022,3,March,"Lubbock - TX",20,9950.35
2022,3,March,"Manchester - NH",12,11018.00
2022,3,March,"McAllen - TX",93,47355.74
2022,3,March,"Midland - TX",83,48940.80
2022,3,March,"New Jersey Central - NJ",7,5269.00
2022,3,March,"Newport News - VA",49,30249.00
2022,3,March,"Northshore - LA",3,2548.08
2022,3,March,"Orchard Park - NY",69,50317.73
2022,3,March,"Orlando West - FL",12,8377.27
2022,3,March,"Oxford - CT",256,182161.80
2022,3,March,"Pittsburgh - PA",4,3535.00
2022,3,March,"Providence - RI",407,248242.78
2022,3,March,"Rochester - NY",99,63313.46
2022,3,March,"Syracuse - NY",26,15982.00
2022,3,March,"Virginia Beach - VA",50,33891.00
2022,3,March,"Westchester - NY",47,33040.66
2022,4,April,"Albany - NY",24,16095.43
2022,4,April,"Baton Rouge - LA",20,11876.58
2022,4,April,"Bloomington - IL",12,3379.00
2022,4,April,"Boston - MA",31,22651.80
2022,4,April,"Buffalo - NY",57,37521.44
2022,4,April,"Chicago North - IL",20,11731.70
2022,4,April,"Chicago South - IL",56,33017.80
2022,4,April,"Corpus Christi - TX",35,21033.75
2022,4,April,"Dallas Fort Worth Northwest - TX",1,700.00
2022,4,April,"DC West - DC",4,2309.00
2022,4,April,"Harrisburg - PA",23,15867.00
2022,4,April,"Hartford - CT",56,44144.61
2022,4,April,"Lafayette - LA",7,2618.00
2022,4,April,"Lexington - KY",81,42929.14
2022,4,April,"Long Island - NY",71,49401.71
2022,4,April,"Lubbock - TX",34,18099.41
2022,4,April,"Manchester - NH",15,13140.50
2022,4,April,"McAllen - TX",53,29600.16
2022,4,April,"Midland - TX",72,49194.01
2022,4,April,"New Jersey Central - NJ",8,6329.00
2022,4,April,"Newport News - VA",33,22294.67
2022,4,April,"Northshore - LA",4,1625.00
2022,4,April,"Orchard Park - NY",73,53411.50
2022,4,April,"Orlando West - FL",8,3010.00
2022,4,April,"Oxford - CT",76,58804.19
2022,4,April,"Pittsburgh - PA",4,1032.00
2022,4,April,"Providence - RI",111,77643.44
2022,4,April,"Rochester - NY",131,75070.80
2022,4,April,"Syracuse - NY",26,16035.60
2022,4,April,"Virginia Beach - VA",141,56749.80
2022,4,April,"Westchester - NY",45,36075.80
2022,5,May,"Albany - NY",25,17950.13
2022,5,May,"Baton Rouge - LA",24,11149.00
2022,5,May,"Bloomington - IL",3,2142.00
2022,5,May,"Boston - MA",36,29503.27
2022,5,May,"Buffalo - NY",57,34366.53
2022,5,May,"Chicago North - IL",29,19466.02
2022,5,May,"Chicago South - IL",50,34270.26
2022,5,May,"Corpus Christi - TX",36,21980.09
2022,5,May,"Dallas Fort Worth Northwest - TX",10,4470.00
2022,5,May,"DC West - DC",3,2551.00
2022,5,May,"Harrisburg - PA",26,20865.30
2022,5,May,"Hartford - CT",53,38756.53
2022,5,May,"Lafayette - LA",12,7784.00
2022,5,May,"Lexington - KY",73,43730.36
2022,5,May,"Long Island - NY",78,58007.54
2022,5,May,"Lubbock - TX",36,19902.74
2022,5,May,"Manchester - NH",9,9220.70
2022,5,May,"McAllen - TX",42,33888.46
2022,5,May,"Midland - TX",88,56400.80
2022,5,May,"New Jersey Central - NJ",11,6506.93
2022,5,May,"Newport News - VA",47,25088.25
2022,5,May,"Northshore - LA",1,1059.00
2022,5,May,"Orchard Park - NY",68,42042.24
2022,5,May,"Orlando West - FL",9,5483.00
2022,5,May,"Oxford - CT",77,56022.34
2022,5,May,"Pittsburgh - PA",13,10404.00
2022,5,May,"Providence - RI",94,80606.28
2022,5,May,"Rochester - NY",63,38447.98
2022,5,May,"Syracuse - NY",23,14088.00
2022,5,May,"Virginia Beach - VA",59,34301.89
2022,5,May,"Westchester - NY",41,25504.02
2022,6,June,"Albany - NY",38,26090.52
2022,6,June,"Baton Rouge - LA",28,15345.97
2022,6,June,"Bloomington - IL",12,9513.00
2022,6,June,"Boston - MA",37,31103.78
2022,6,June,"Buffalo - NY",66,39583.32
2022,6,June,"Chicago North - IL",23,15670.71
2022,6,June,"Chicago South - IL",80,54216.77
2022,6,June,"Corpus Christi - TX",44,24925.57
2022,6,June,"Dallas Fort Worth Northwest - TX",5,2400.00
2022,6,June,"DC West - DC",5,2373.00
2022,6,June,"Harrisburg - PA",39,30621.68
2022,6,June,"Hartford - CT",53,43572.44
2022,6,June,"Lafayette - LA",9,5516.88
2022,6,June,"Lexington - KY",93,55267.68
2022,6,June,"Long Island - NY",76,60262.00
2022,6,June,"Lubbock - TX",38,20571.15
2022,6,June,"Manchester - NH",18,14013.00
2022,6,June,"McAllen - TX",61,34449.18
2022,6,June,"Midland - TX",90,62422.71
2022,6,June,"New Jersey Central - NJ",8,6123.00
2022,6,June,"Newport News - VA",46,31320.94
2022,6,June,"Northshore - LA",10,5489.24
2022,6,June,"Orchard Park - NY",76,46350.40
2022,6,June,"Orlando West - FL",6,2765.00
2022,6,June,"Oxford - CT",107,88370.01
2022,6,June,"Pittsburgh - PA",7,6402.00
2022,6,June,"Providence - RI",102,78587.99
2022,6,June,"Rochester - NY",148,80973.25
2022,6,June,"Syracuse - NY",55,26640.08
2022,6,June,"Virginia Beach - VA",64,38891.23
2022,6,June,"Westchester - NY",73,46068.38
2022,7,July,"Albany - NY",43,27050.74
2022,7,July,"Baton Rouge - LA",50,20997.50
2022,7,July,"Bloomington - IL",11,6044.73
2022,7,July,"Boston - MA",57,54754.09
2022,7,July,"Buffalo - NY",52,32335.02
2022,7,July,"Chicago North - IL",35,22994.98
2022,7,July,"Chicago South - IL",100,61366.93
2022,7,July,"Corpus Christi - TX",69,28216.54
2022,7,July,"Dallas Fort Worth Northwest - TX",13,4863.10
2022,7,July,"DC West - DC",10,6757.00
2022,7,July,"Harrisburg - PA",54,31172.60
2022,7,July,"Hartford - CT",93,62083.93
2022,7,July,"Lafayette - LA",11,5583.00
2022,7,July,"Lexington - KY",87,46370.99
2022,7,July,"Long Island - NY",125,63591.30
2022,7,July,"Lubbock - TX",39,17037.16
2022,7,July,"Manchester - NH",21,15409.50
2022,7,July,"McAllen - TX",87,31647.04
2022,7,July,"Midland - TX",167,66587.55
2022,7,July,"New Jersey Central - NJ",11,7648.09
2022,7,July,"Newport News - VA",73,35569.01
2022,7,July,"Northshore - LA",11,2607.00
2022,7,July,"Orchard Park - NY",96,57225.39
2022,7,July,"Orlando West - FL",9,3615.60
2022,7,July,"Oxford - CT",135,108762.27
2022,7,July,"Pittsburgh - PA",11,6095.56
2022,7,July,"Providence - RI",157,121283.09
2022,7,July,"Rochester - NY",87,56118.42
2022,7,July,"Syracuse - NY",43,24217.78
2022,7,July,"Virginia Beach - VA",159,52194.13
2022,7,July,"Westchester - NY",113,49236.11
2022,8,August,"Albany - NY",57,28447.02
2022,8,August,"Baton Rouge - LA",30,17148.62
2022,8,August,"Bloomington - IL",8,4797.55
2022,8,August,"Boston - MA",58,47719.38
2022,8,August,"Buffalo - NY",78,43667.11
2022,8,August,"Chicago North - IL",42,26170.50
2022,8,August,"Chicago South - IL",83,53760.99
2022,8,August,"Corpus Christi - TX",61,36317.50
2022,8,August,"Dallas Fort Worth Northwest - TX",13,8432.00
2022,8,August,"DC West - DC",22,13730.35
2022,8,August,"Harrisburg - PA",58,47001.50
2022,8,August,"Hartford - CT",129,83663.24
2022,8,August,"Lafayette - LA",9,4212.00
2022,8,August,"Lexington - KY",80,51444.12
2022,8,August,"Long Island - NY",149,71229.80
2022,8,August,"Lubbock - TX",31,19991.52
2022,8,August,"Manchester - NH",11,8149.78
2022,8,August,"McAllen - TX",48,32013.85
2022,8,August,"Midland - TX",124,87643.10
2022,8,August,"New Jersey Central - NJ",27,15114.50
2022,8,August,"Newport News - VA",64,39259.50
2022,8,August,"Northshore - LA",4,2882.00
2022,8,August,"Orchard Park - NY",119,58710.07
2022,8,August,"Orlando West - FL",11,6954.45
2022,8,August,"Oxford - CT",132,108803.18
2022,8,August,"Pittsburgh - PA",21,10760.00
2022,8,August,"Providence - RI",126,102082.35
2022,8,August,"Rochester - NY",115,70221.50
2022,8,August,"Syracuse - NY",79,37702.85
2022,8,August,"Virginia Beach - VA",118,64029.89
2022,8,August,"Westchester - NY",99,56385.62
2022,9,September,"Albany - NY",27,21684.39
2022,9,September,"Baton Rouge - LA",19,11389.71
2022,9,September,"Bloomington - IL",18,8208.77
2022,9,September,"Boston - MA",57,49648.42
2022,9,September,"Buffalo - NY",126,67161.18
2022,9,September,"Chicago North - IL",50,31010.11
2022,9,September,"Chicago South - IL",125,61454.34
2022,9,September,"Corpus Christi - TX",56,30930.77
2022,9,September,"Dallas Fort Worth Northwest - TX",8,4226.00
2022,9,September,"DC West - DC",17,9294.00
