Year,MonthNum,Month,"Branch Name",Sales,"Contract Value"
2022,1,January,"Albany - NY",12,9802.53
2022,1,January,"Baton Rouge - LA",26,18597.08
2022,1,January,"Bloomington - IL",13,9415.91
2022,1,January,"Boston - MA",37,35589.60
2022,1,January,"Buffalo - NY",39,30117.82
2022,1,January,"Chicago North - IL",45,34141.99
2022,1,January,"Chicago South - IL",88,70521.11
2022,1,January,"Corpus Christi - TX",59,36052.20
2022,1,January,"Dallas Fort Worth Northwest - TX",13,8653.66
2022,1,January,"DC West - DC",8,6446.06
2022,1,January,"Harrisburg - PA",20,16275.29
2022,1,January,"Hartford - CT",70,62989.36
2022,1,January,"Lafayette - LA",14,12744.62
2022,1,January,"Lexington - KY",45,31670.08
2022,1,January,"Long Island - NY",46,42141.84
2022,1,January,"Lubbock - TX",15,8827.18
2022,1,January,"Manchester - NH",11,9563.97
2022,1,January,"McAllen - TX",51,36838.52
2022,1,January,"Midland - TX",27,23446.24
2022,1,January,"New Jersey Central - NJ",8,6973.57
2022,1,January,"Newport News - VA",24,18874.60
2022,1,January,"Northshore - LA",6,9810.94
2022,1,January,"Orchard Park - NY",65,50613.80
2022,1,January,"Orlando West - FL",24,20230.23
2022,1,January,"Oxford - CT",94,84219.00
2022,1,January,"Pittsburgh - PA",13,11527.73
2022,1,January,"Providence - RI",144,135343.35
2022,1,January,"Rochester - NY",64,50657.55
2022,1,January,"Syracuse - NY",13,9207.52
2022,1,January,"Virginia Beach - VA",44,37035.25
2022,1,January,"Westchester - NY",46,40564.32
2022,2,February,"Albany - NY",20,17612.53
2022,2,February,"Baton Rouge - LA",23,15380.40
2022,2,February,"Bloomington - IL",8,9692.36
2022,2,February,"Boston - MA",39,37151.84
2022,2,February,"Buffalo - NY",40,31324.94
2022,2,February,"Chicago North - IL",34,27041.97
2022,2,February,"Chicago South - IL",74,60740.53
2022,2,February,"Corpus Christi - TX",29,17901.79
2022,2,February,"Dallas Fort Worth Northwest - TX",8,6277.82
2022,2,February,"DC West - DC",12,9094.42
2022,2,February,"Harrisburg - PA",24,21941.87
2022,2,February,"Hartford - CT",78,79536.80
2022,2,February,"Lafayette - LA",13,7477.65
2022,2,February,"Lexington - KY",38,31436.56
2022,2,February,"Long Island - NY",94,88057.09
2022,2,February,"Lubbock - TX",15,9473.07
2022,2,February,"Manchester - NH",12,13349.37
2022,2,February,"McAllen - TX",55,45967.41
2022,2,February,"Midland - TX",45,35626.61
2022,2,February,"New Jersey Central - NJ",12,10017.28
2022,2,February,"Newport News - VA",26,21749.09
2022,2,February,"Northshore - LA",8,5900.56
2022,2,February,"Orchard Park - NY",48,40370.34
2022,2,February,"Orlando West - FL",25,17497.51
2022,2,February,"Oxford - CT",81,71055.29
2022,2,February,"Pittsburgh - PA",13,11286.58
2022,2,February,"Providence - RI",115,107607.49
2022,2,February,"Rochester - NY",45,35052.25
2022,2,February,"Syracuse - NY",21,15514.71
2022,2,February,"Virginia Beach - VA",32,26773.49
2022,2,February,"Westchester - NY",35,28806.06
2022,3,March,"Albany - NY",28,20632.84
2022,3,March,"Baton Rouge - LA",39,28338.30
2022,3,March,"Bloomington - IL",10,8870.24
2022,3,March,"Boston - MA",39,39393.88
2022,3,March,"Buffalo - NY",61,49737.80
2022,3,March,"Chicago North - IL",35,26357.68
2022,3,March,"Chicago South - IL",96,69923.55
2022,3,March,"Corpus Christi - TX",46,26228.37
2022,3,March,"Dallas Fort Worth Northwest - TX",13,9969.36
2022,3,March,"DC West - DC",12,9558.22
2022,3,March,"Harrisburg - PA",53,47428.35
2022,3,March,"Hartford - CT",98,85233.89
2022,3,March,"Lafayette - LA",17,11494.76
2022,3,March,"Lexington - KY",97,70908.67
2022,3,March,"Long Island - NY",96,76650.89
2022,3,March,"Lubbock - TX",44,27173.16
2022,3,March,"Manchester - NH",16,14959.21
2022,3,March,"McAllen - TX",57,39978.10
