year,month,source,status,total_sales,total_contract_value
2023,11,Pan,new_acquisition,4,3499.00
2023,12,Pan,new_acquisition,5,5035.18
2023,12,Pan,upgrade,2,2352.08
2024,01,Pan,new_acquisition,2,1463.00
2024,03,Pan,new_acquisition,3,2294.00
2024,04,Pan,new_acquisition,11,9047.36
2024,04,Pan,upgrade,2,2054.11
2024,05,Pan,new_acquisition,8,7042.00
2024,05,Pan,upgrade,2,2755.00
2024,06,Pan,new_acquisition,4,3714.00
2024,06,Pan,winback,1,907.00
2024,07,Pan,new_acquisition,9,7683.55
2024,07,Pan,upgrade,1,1285.00
2024,08,Pan,new_acquisition,8,5998.38
2024,08,Pan,upgrade,2,2733.00
2024,09,Pan,new_acquisition,4,3549.00
2024,10,Pan,new_acquisition,2,1453.00
2024,10,Pan,winback,1,785.00
2024,11,Pan,new_acquisition,1,1045.00
2025,01,Calli,new_acquisition,2,1869.00
2025,01,Libacion,new_acquisition,5,3912.00
2025,01,Libacion,upgrade,1,1008.00
2025,01,Libacion,winback,1,951.00
2025,02,Libacion,new_acquisition,2,1843.00
2025,03,Libacion,new_acquisition,3,2689.00
2025,04,Calli,new_acquisition,1,770.00
2025,04,Libacion,new_acquisition,5,5328.00
2025,05,Calli,new_acquisition,6,13070.00
2025,05,Libacion,new_acquisition,11,15496.00
2025,05,Libacion,upgrade,4,2602.00
2025,06,Calli,new_acquisition,9,7428.00
2025,06,Calli,upgrade,1,280.00
2025,06,Libacion,new_acquisition,10,8680.00
2025,06,Libacion,upgrade,2,0.00
2025,07,Calli,new_acquisition,17,15003.00
2025,07,Calli,upgrade,3,6575.00
2025,07,Calli,winback,1,990.00
2025,07,Libacion,new_acquisition,15,11636.00
2025,07,Libacion,winback,1,915.00
2025,08,Calli,new_acquisition,17,14316.00
2025,08,Calli,upgrade,4,6593.00
2025,08,Libacion,new_acquisition,12,9849.00
2025,08,Libacion,upgrade,2,1476.00
2025,09,Calli,new_acquisition,21,15708.00
2025,09,Calli,upgrade,1,891.00
2025,09,Libacion,new_acquisition,6,7095.00
2025,09,Libacion,upgrade,1,0.00
2025,09,Libacion,winback,1,325.00
2025,09,Pan,new_acquisition,1,909.00
2025,10,Calli,new_acquisition,23,21073.00
2025,10,Calli,upgrade,6,19340.00
2025,10,Calli,winback,1,693.00
2025,10,Libacion,new_acquisition,5,4081.00
2025,10,Libacion,upgrade,1,280.00
2025,10,Libacion,winback,1,630.00
2025,10,Pan,new_acquisition,2,1903.00
2025,11,Calli,new_acquisition,15,13245.00
2025,11,Calli,upgrade,2,5905.00
2025,11,Calli,winback,1,965.00
2025,11,Libacion,new_acquisition,2,2125.00
2025,11,Pan,new_acquisition,1,785.00
2025,11,Pan,upgrade,1,950.00
2025,12,Calli,new_acquisition,16,13488.00
2025,12,Calli,upgrade,3,2636.00
2025,12,Libacion,new_acquisition,1,991.00
2025,12,Libacion,upgrade,1,714.00
2025,12,Pan,new_acquisition,1,930.00
2026,01,Calli,new_acquisition,16,12287.00
2026,01,Calli,upgrade,1,350.00
2026,01,Leased,new_acquisition,1,822.00
2026,01,Libacion,new_acquisition,1,1058.00
2026,01,Pan,new_acquisition,2,1800.00
2026,02,Calli,new_acquisition,9,7877.00
2026,02,Calli,upgrade,3,3564.00
2026,02,Calli,winback,1,734.00
2026,02,Lab,new_acquisition,1,1365.00
2026,02,Lather,new_acquisition,3,2766.00
2026,02,Leased,new_acquisition,10,6773.87
2026,02,Leased,upgrade,2,2175.00
2026,02,Libacion,new_acquisition,3,2537.00
2026,02,Libacion,upgrade,2,400.00
2026,03,Calli,new_acquisition,9,7220.00
2026,03,Leased,new_acquisition,33,26548.00
2026,03,Leased,upgrade,11,9888.00
2026,03,Leased,winback,2,1708.00
2026,03,Libacion,new_acquisition,3,5036.25
2026,03,Libacion,upgrade,1,0.00
2026,03,Pan,new_acquisition,1,883.00
2026,04,Calli,new_acquisition,28,26127.00
2026,04,Calli,winback,1,817.00
2026,04,Leased,new_acquisition,63,54618.88
2026,04,Leased,upgrade,5,6909.00
2026,04,Leased,winback,4,2721.00
2026,04,Libacion,new_acquisition,4,3622.00
2026,04,Libacion,upgrade,1,1495.00
2026,04,Libacion,winback,2,900.00
2026,05,Calli,new_acquisition,20,18317.00
2026,05,Calli,upgrade,1,6400.00
2026,05,Lab,winback,1,150.00
2026,05,Leased,new_acquisition,50,38571.00
2026,05,Leased,upgrade,5,4669.00
2026,05,Leased,winback,2,1920.00
2026,06,Calli,new_acquisition,11,9309.00
2026,06,Calli,upgrade,3,4432.00
2026,06,Calli,winback,2,1670.00
2026,06,Lab,new_acquisition,2,970.00
2026,06,Leased,new_acquisition,13,9851.00
2026,06,Leased,upgrade,1,3140.00
2026,06,Leased,winback,1,818.00
